trilat,trilong,ssid,qos,transid,firsttime,lasttime,lastupdt,netid,name,type,comment,wep,bcninterval,freenet,dhcp,paynet,userfound,channel,rcois,encryption,country,region,road,city,housenumber,postalcode
37.38183594,-121.98490906,Random1,0,20240129-00000,2024-01-29T14:00:00.000Z,2024-01-29T10:00:00.000Z,2024-01-29T10:00:00.000Z,00:03:7F:08:A5:68,,infra,,2,0,?,?,?,False,1,506f9a 1bc504bd,wpa2,US,CA,Garrett Drive,Santa Clara,,94089-2701
-22.89505768,-43.18717575,OPENROAMING,1,20240717-00000,2024-05-21T01:00:00.000Z,2024-07-17T20:00:00.000Z,2024-07-17T21:00:00.000Z,00:04:56:99:D1:C2,,infra,,2,0,?,?,?,False,6,5a03ba0000,wpa2,BR,Rio de Janeiro,Avenida Barão de Tefé,Rio de Janeiro,34,20081-312
32.75365448,-97.69207001,Nextlink Mobile,0,20240526-00000,2024-05-27T01:00:00.000Z,2024-05-26T19:00:00.000Z,2024-05-26T21:00:00.000Z,00:04:56:A2:D5:F2,,infra,,2,0,?,?,?,False,11,f4f5e8f5f4,wpa2,US,TX,I 20,,,
32.75029755,-97.68047333,Nextlink Mobile,0,20240628-00000,2024-06-28T20:00:00.000Z,2024-06-28T15:00:00.000Z,2024-06-28T16:00:00.000Z,00:04:56:A2:D5:F3,,infra,,2,0,?,?,?,False,11,f4f5e8f5f4,wpa2,US,TX,I 20,,,
28.63162994,77.22753906,HFCL_WBA_Openroaming,0,20240129-00000,2024-01-30T03:00:00.000Z,2024-01-30T03:00:00.000Z,2024-01-30T03:00:00.000Z,00:06:AE:FF:F4:25,,infra,,2,0,?,?,?,False,11,5a03ba0000,wpa2,IN,Delhi,Babar Road,New Delhi,,110 001
28.63162613,77.22756958,HFCL_WBA_Openroaming,0,20240129-00000,2024-01-30T03:00:00.000Z,2024-01-30T03:00:00.000Z,2024-01-30T03:00:00.000Z,00:06:AE:FF:F4:35,,infra,,2,0,?,?,?,False,136,5a03ba0000,wpa2,IN,Delhi,Babar Road,New Delhi,,110 001
48.85497665,2.36977196,FlymingoWifi #3,0,20240229-00000,2024-01-26T21:00:00.000Z,2024-02-29T11:00:00.000Z,2024-02-29T22:00:00.000Z,00:19:70:BF:B0:85,,infra,,?,0,?,?,?,False,40,2233445566,unknown,FR,Île-de-France,Esplanade Roger Joseph Boscovich,Paris,,75011
40.65671158,-74.00675964,OpenRoaming,0,20240425-00000,2024-04-25T15:00:00.000Z,2024-04-25T08:00:00.000Z,2024-04-25T09:00:00.000Z,00:1B:D5:55:68:28,,infra,,2,0,?,?,?,False,36,5a03ba0100 5a03ba0000,wpa2,US,NY,35th Street,City of New York,33,11211
36.10260391,-115.16963196,BoldynPasspoint,0,20240518-00000,2024-05-18T19:00:00.000Z,2024-05-18T15:00:00.000Z,2024-05-18T16:00:00.000Z,00:27:90:45:3E:61,,infra,,2,0,?,?,?,False,40,cae505 f4f5e8f5f4,wpa2,US,NV,Audrie Street,,,89158
36.10260391,-115.16963196,BoldynPasspoint,0,20240207-00000,2024-01-24T02:00:00.000Z,2024-05-18T15:00:00.000Z,2024-05-18T16:00:00.000Z,00:27:90:45:3E:6E,,infra,,2,0,?,?,?,False,1,cae505 f4f5e8f5f4,wpa2,US,NV,Audrie Street,,,89158
36.09749222,-115.17685699,BoldynPasspoint,0,20240323-00000,2024-03-24T00:00:00.000Z,2024-03-23T20:00:00.000Z,2024-03-23T21:00:00.000Z,00:27:90:45:40:6F,,infra,,2,0,?,?,?,False,36,cae505 f4f5e8f5f4,wpa2,US,NV,West Reno Avenue,,,89119-1001
36.09786987,-115.17575836,BoldynPasspoint,1,20240408-00000,2024-04-09T04:00:00.000Z,2024-04-12T23:00:00.000Z,2024-04-13T03:00:00.000Z,00:27:90:45:FA:8F,,infra,,2,0,?,?,?,False,100,cae505 f4f5e8f5f4,wpa2,US,NV,Luxor - Excalibur,,,89119-1001
36.09744644,-115.1758194,BoldynPasspoint,2,20240109-00000,2024-01-10T01:00:00.000Z,2024-04-08T22:00:00.000Z,2024-04-09T09:00:00.000Z,00:27:90:4C:C5:AF,,infra,,2,0,?,?,?,False,36,cae505 f4f5e8f5f4,wpa2,US,NV,Luxor - Excalibur,,,89119-1001
